months_as_customer,policy_deductable,umbrella_limit,capital-gains,capital-loss,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,injury_claim,property_claim,vehicle_claim,policy_annual_premium,insured_education_level,insured_sex,insured_occupation,insured_relationship,incident_type,collision_type,incident_severity,authorities_contacted,property_damage,police_report_available,fraud_reported
461,2000,0,0,0,10,3,2,1,7210,14420,50470,1402.75,JD,MALE,exec-managerial,husband,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,?,YES,N
428,500,7000000,0,0,8,1,2,3,1300,650,4550,1344.36,JD,FEMALE,prof-specialty,other-relative,Parked Car,?,Minor Damage,None,?,NO,N
45,1000,0,29000,0,17,3,2,0,13040,13040,52160,1197.71,Masters,MALE,machine-op-inspct,not-in-family,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,?,?,N
136,500,0,62500,-66900,9,1,2,0,1240,620,4340,1203.24,JD,FEMALE,transport-moving,other-relative,Vehicle Theft,?,Minor Damage,Police,?,?,N
216,1000,0,39600,-82400,0,1,2,3,560,1680,3920,1152.4,Associate,FEMALE,priv-house-serv,unmarried,Parked Car,?,Minor Damage,Police,YES,?,N
278,2000,7000000,0,-54000,12,1,2,0,11700,11700,52650,1142.62,MD,FEMALE,farming-fishing,not-in-family,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,?,?,N
295,1000,0,49700,-59100,20,2,2,1,13240,13240,59580,1332.07,MD,FEMALE,exec-managerial,unmarried,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,NO,YES,N
112,1000,0,47700,-59300,3,1,2,0,10790,21580,75530,1166.54,Masters,FEMALE,prof-specialty,not-in-family,Single Vehicle Collision,Front Collision,Major Damage,Fire,YES,NO,Y
122,500,0,38100,-31400,18,3,2,0,18180,18180,63630,1495.06,Masters,FEMALE,prof-specialty,unmarried,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,NO,YES,N
108,1000,0,71400,0,4,3,2,2,11160,5580,44640,1337.92,PhD,FEMALE,armed-forces,not-in-family,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,NO,YES,N
14,2000,0,0,-26900,18,1,2,1,12960,12960,45360,1587.96,Associate,FEMALE,craft-repair,unmarried,Single Vehicle Collision,Rear Collision,Major Damage,Fire,?,YES,Y
298,1000,0,0,-51100,18,3,0,0,12800,6400,44800,1362.29,High School,MALE,farming-fishing,unmarried,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,NO,NO,N
276,500,0,0,-50000,7,1,0,1,660,660,4620,1448.84,Masters,FEMALE,machine-op-inspct,husband,Parked Car,?,Trivial Damage,Police,?,NO,N
47,2000,0,75400,0,18,1,1,0,670,670,5360,1241.97,High School,MALE,other-service,not-in-family,Parked Car,?,Minor Damage,None,NO,NO,N
222,500,0,0,0,23,3,0,0,11940,7960,31840,1124.6,Associate,MALE,armed-forces,not-in-family,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,YES,?,N
119,2000,0,88800,0,1,1,0,1,6700,6700,40200,1079.92,High School,MALE,machine-op-inspct,husband,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,?,YES,Y
73,1000,0,35100,-59900,15,3,1,0,4990,4990,34930,1447.78,College,MALE,protective-serv,wife,Multi-vehicle Collision,Rear Collision,Total Loss,Other,YES,?,N
8,500,4000000,0,-88300,2,3,0,2,11100,7400,29600,1229.16,MD,FEMALE,transport-moving,wife,Multi-vehicle Collision,Front Collision,Major Damage,Fire,?,YES,N
294,1000,0,53900,0,3,1,0,1,610,1220,4270,1226.49,PhD,FEMALE,farming-fishing,unmarried,Vehicle Theft,?,Trivial Damage,None,NO,NO,N
324,2000,6000000,0,-41300,13,1,1,0,15920,15920,47760,897.89,MD,MALE,tech-support,wife,Single Vehicle Collision,Rear Collision,Minor Damage,Other,?,YES,N
155,500,0,0,0,1,1,1,1,8560,8560,59920,1706.79,Masters,MALE,protective-serv,other-relative,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,NO,YES,N
261,1000,0,0,-45100,16,1,0,1,11380,11380,39830,1254.18,PhD,FEMALE,prof-specialty,other-relative,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,YES,?,N
245,500,0,27000,-58900,0,1,0,1,13100,13100,58950,885.08,Masters,FEMALE,armed-forces,other-relative,Single Vehicle Collision,Front Collision,Total Loss,Other,YES,NO,N
235,500,4000000,0,-31700,1,1,2,1,450,900,3600,1046.58,MD,MALE,tech-support,wife,Vehicle Theft,?,Trivial Damage,None,?,NO,N
53,2000,0,72200,0,17,3,2,0,10220,5110,35770,1712.68,Associate,MALE,handlers-cleaners,not-in-family,Multi-vehicle Collision,Side Collision,Major Damage,Fire,?,YES,N
426,2000,0,29600,-22300,13,1,2,3,16800,16800,67200,1097.71,Masters,FEMALE,adm-clerical,not-in-family,Single Vehicle Collision,Side Collision,Minor Damage,Police,YES,?,N
111,500,4000000,51100,0,12,1,2,3,16540,16540,57890,1363.77,Masters,FEMALE,tech-support,husband,Single Vehicle Collision,Side Collision,Total Loss,Police,YES,NO,N
86,500,7000000,0,-30300,11,1,1,1,14880,7440,59520,1382.88,JD,MALE,tech-support,other-relative,Single Vehicle Collision,Rear Collision,Minor Damage,Police,?,YES,Y
296,1000,7000000,0,0,18,1,0,2,5490,5490,43920,1141.35,Masters,MALE,craft-repair,not-in-family,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,?,NO,N
125,500,7000000,0,-51300,17,1,2,3,8060,16120,64480,1054.83,JD,MALE,tech-support,husband,Single Vehicle Collision,Front Collision,Total Loss,Fire,YES,NO,Y
177,2000,0,0,-57700,22,3,1,1,2250,2250,13500,1057.77,JD,FEMALE,tech-support,unmarried,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,?,NO,N
238,2000,0,0,-39200,9,1,1,3,1100,550,3850,1488.02,JD,FEMALE,protective-serv,other-relative,Vehicle Theft,?,Minor Damage,Police,YES,YES,N
81,500,5000000,51000,-67900,11,3,1,0,13440,6720,53760,920.3,High School,FEMALE,tech-support,own-child,Multi-vehicle Collision,Rear Collision,Major Damage,Other,?,?,Y
128,1000,0,62700,0,11,1,0,2,18520,18520,64820,986.53,High School,FEMALE,adm-clerical,other-relative,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,NO,YES,N
449,2000,0,25000,0,8,1,0,1,980,980,3430,1440.68,Associate,MALE,tech-support,own-child,Parked Car,?,Minor Damage,None,YES,YES,N
252,1000,0,68500,-57500,18,1,1,2,5610,5610,39270,1086.21,JD,MALE,farming-fishing,unmarried,Single Vehicle Collision,Side Collision,Minor Damage,Police,?,?,N
359,2000,0,0,0,13,1,0,3,5550,11100,38850,1367.68,MD,FEMALE,handlers-cleaners,unmarried,Single Vehicle Collision,Front Collision,Total Loss,Police,NO,NO,N
19,1000,0,42900,-90200,8,1,1,1,1280,640,5120,1215.85,High School,MALE,other-service,husband,Vehicle Theft,?,Minor Damage,Police,YES,YES,N
73,2000,4000000,29300,0,9,3,0,1,5020,0,35140,1191.19,MD,MALE,farming-fishing,not-in-family,Multi-vehicle Collision,Rear Collision,Total Loss,Other,?,YES,N
285,1000,0,0,0,17,2,2,3,6960,6960,41760,1594.45,High School,MALE,handlers-cleaners,husband,Multi-vehicle Collision,Side Collision,Total Loss,Fire,YES,NO,N
196,2000,0,0,0,3,1,1,1,530,530,4240,1463.07,MD,MALE,armed-forces,own-child,Vehicle Theft,?,Trivial Damage,Police,?,NO,Y
223,500,0,0,0,6,1,0,3,650,650,3900,1734.09,MD,FEMALE,adm-clerical,not-in-family,Parked Car,?,Trivial Damage,None,YES,?,N
328,500,0,45100,-32800,17,1,2,1,5940,11880,41580,1411.43,Masters,MALE,armed-forces,own-child,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,YES,NO,N
285,2000,0,47600,0,7,1,1,1,280,280,1960,1512.58,College,FEMALE,sales,other-relative,Vehicle Theft,?,Minor Damage,Police,?,?,N
30,2000,0,0,0,9,1,2,1,960,960,3840,1153.35,PhD,MALE,craft-repair,not-in-family,Vehicle Theft,?,Trivial Damage,Police,NO,YES,N
342,500,0,63100,-13800,3,1,2,0,7670,7670,61360,1722.95,PhD,MALE,transport-moving,not-in-family,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,?,YES,N
219,2000,7000000,0,0,6,1,0,2,740,740,4440,1281.07,High School,FEMALE,protective-serv,unmarried,Parked Car,?,Trivial Damage,Police,NO,NO,N
468,500,0,0,0,7,3,0,3,7150,7150,50050,1011.92,PhD,MALE,machine-op-inspct,wife,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,YES,?,N
241,2000,0,0,0,21,3,1,2,4240,2120,12720,1042.26,JD,MALE,sales,husband,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,NO,?,N
223,500,0,66400,-34400,14,1,2,1,5440,5440,43520,1235.1,Masters,FEMALE,tech-support,not-in-family,Single Vehicle Collision,Rear Collision,Minor Damage,Police,NO,NO,N
128,2000,0,0,-39300,0,1,1,0,5980,5980,47840,768.91,College,FEMALE,sales,other-relative,Single Vehicle Collision,Rear Collision,Total Loss,Fire,?,NO,Y
124,500,0,0,0,14,3,0,3,7200,7200,57600,1301.72,Masters,MALE,handlers-cleaners,husband,Multi-vehicle Collision,Side Collision,Major Damage,Police,?,YES,N
343,500,3000000,0,0,13,4,2,3,7230,14460,43380,1451.54,JD,MALE,adm-clerical,husband,Multi-vehicle Collision,Side Collision,Total Loss,Police,NO,NO,N
404,500,0,25500,-36700,8,1,0,1,1760,880,6160,767.14,Associate,MALE,sales,not-in-family,Parked Car,?,Trivial Damage,Police,NO,NO,N
63,2000,0,0,0,7,1,2,0,1020,1020,4080,1620.89,High School,FEMALE,handlers-cleaners,other-relative,Vehicle Theft,?,Minor Damage,Police,NO,NO,N
210,2000,0,59900,0,9,1,1,2,1180,590,5310,1048.46,High School,MALE,priv-house-serv,not-in-family,Vehicle Theft,?,Trivial Damage,None,?,?,N
335,1000,6000000,62200,-31400,12,3,2,3,8580,4290,21450,1538.26,High School,MALE,sales,other-relative,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,YES,YES,N
11,2000,0,24000,0,6,3,1,0,9720,9720,34020,1217.69,MD,FEMALE,prof-specialty,wife,Multi-vehicle Collision,Side Collision,Major Damage,Other,?,?,Y
142,2000,5000000,0,0,11,1,1,3,6780,13560,61020,1362.64,JD,FEMALE,exec-managerial,wife,Single Vehicle Collision,Side Collision,Total Loss,Other,YES,?,Y
272,1000,0,0,0,5,3,1,2,7370,14740,58960,1279.13,PhD,MALE,craft-repair,other-relative,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,?,YES,Y
69,2000,0,0,0,14,1,2,2,5260,10520,47340,924.72,High School,FEMALE,machine-op-inspct,unmarried,Single Vehicle Collision,Front Collision,Minor Damage,Fire,NO,NO,N
38,1000,0,0,-39700,17,1,2,1,1440,720,5040,1019.44,Masters,MALE,transport-moving,not-in-family,Vehicle Theft,?,Trivial Damage,None,?,NO,N
328,500,0,24800,0,0,1,2,3,12780,6390,51120,1314.6,MD,FEMALE,prof-specialty,not-in-family,Single Vehicle Collision,Rear Collision,Total Loss,Other,?,?,Y
281,1000,6000000,0,0,21,3,1,0,9260,9260,41670,1515.18,College,MALE,priv-house-serv,other-relative,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,NO,NO,N
246,2000,0,0,-58600,18,1,1,2,11160,5580,44640,1649.18,College,MALE,farming-fishing,other-relative,Single Vehicle Collision,Front Collision,Major Damage,Other,YES,YES,Y
298,500,0,47800,0,17,1,2,2,2810,5620,19670,1451.01,College,FEMALE,other-service,own-child,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,NO,NO,N
330,1000,0,0,0,19,1,0,0,8920,8920,31220,978.46,High School,FEMALE,sales,husband,Single Vehicle Collision,Side Collision,Total Loss,Fire,YES,NO,N
362,500,4000000,53000,-72500,17,3,1,1,6340,6340,44380,1198.34,Associate,MALE,sales,wife,Multi-vehicle Collision,Side Collision,Total Loss,Fire,?,NO,N
241,2000,0,0,0,23,3,0,3,12980,12980,51920,1003.23,Associate,FEMALE,tech-support,not-in-family,Multi-vehicle Collision,Side Collision,Major Damage,Fire,?,YES,N
245,2000,0,24400,-60500,4,1,0,1,7350,14700,51450,1212,Masters,MALE,exec-managerial,unmarried,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,YES,YES,N
371,1000,7000000,0,-37100,2,2,2,0,6840,13680,68400,1242.96,High School,FEMALE,other-service,own-child,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,YES,?,N
343,1000,0,0,0,2,1,0,2,12990,4330,30310,1053.02,Associate,FEMALE,prof-specialty,not-in-family,Single Vehicle Collision,Front Collision,Major Damage,Other,?,NO,Y
377,500,0,0,-64000,10,3,1,3,6560,6560,45920,1693.63,MD,FEMALE,craft-repair,unmarried,Multi-vehicle Collision,Front Collision,Total Loss,Fire,YES,NO,N
154,1000,0,0,-67800,2,1,0,3,14460,7230,57840,2047.59,MD,FEMALE,farming-fishing,other-relative,Single Vehicle Collision,Rear Collision,Minor Damage,Other,?,NO,N
166,1000,0,65600,-68200,18,1,0,2,4880,4880,43920,1083.72,High School,FEMALE,machine-op-inspct,wife,Single Vehicle Collision,Side Collision,Total Loss,Other,NO,YES,N
298,1000,6000000,36900,-55000,18,1,2,3,3050,6100,24400,1138.42,JD,MALE,prof-specialty,own-child,Single Vehicle Collision,Side Collision,Minor Damage,Police,NO,YES,N
235,500,0,39900,-60200,7,4,2,1,6910,6910,55280,1072.62,Masters,FEMALE,machine-op-inspct,husband,Multi-vehicle Collision,Side Collision,Total Loss,Other,?,YES,N
172,2000,0,63600,-68700,19,3,2,0,14500,14500,50750,1219.04,MD,MALE,handlers-cleaners,own-child,Multi-vehicle Collision,Rear Collision,Major Damage,Police,?,NO,N
27,2000,0,0,-32500,10,3,0,2,5360,10720,37520,1371.78,JD,MALE,farming-fishing,other-relative,Multi-vehicle Collision,Front Collision,Major Damage,Other,?,YES,Y
428,2000,0,0,-24400,16,3,1,0,12760,6380,57420,1506.21,Masters,MALE,transport-moving,unmarried,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,NO,?,N
99,1000,3000000,0,0,17,1,1,1,4570,4570,31990,1058.21,JD,MALE,craft-repair,unmarried,Single Vehicle Collision,Front Collision,Total Loss,Fire,YES,NO,N
107,2000,0,40600,0,2,3,2,3,14300,7150,57200,932.14,MD,MALE,sales,own-child,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,NO,NO,Y
272,2000,0,33300,-10600,19,1,1,1,6460,12920,51680,1608.34,Associate,FEMALE,farming-fishing,own-child,Single Vehicle Collision,Side Collision,Major Damage,Other,?,?,N
151,1000,0,54000,0,0,1,1,1,3530,3530,31770,1728.56,Masters,FEMALE,farming-fishing,own-child,Single Vehicle Collision,Front Collision,Minor Damage,Fire,YES,?,N
249,1000,0,0,0,16,1,0,0,5350,5350,42800,1518.46,MD,FEMALE,armed-forces,own-child,Single Vehicle Collision,Front Collision,Major Damage,Fire,?,YES,N
177,2000,0,0,-74500,20,1,2,0,7370,7370,58960,1540.19,College,FEMALE,adm-clerical,other-relative,Single Vehicle Collision,Front Collision,Major Damage,Other,YES,NO,Y
190,2000,0,36900,-53700,10,1,2,1,630,630,5040,965.21,JD,FEMALE,exec-managerial,other-relative,Parked Car,?,Trivial Damage,None,?,YES,N
174,2000,0,53200,-53800,21,3,2,2,10900,10900,43600,1278.75,College,FEMALE,tech-support,own-child,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,?,NO,N
95,1000,0,0,-70300,3,1,1,2,640,320,2240,773.99,Associate,MALE,armed-forces,other-relative,Vehicle Theft,?,Trivial Damage,None,YES,NO,N
371,1000,0,60300,-24700,7,1,0,3,7540,15080,52780,1532.47,Associate,FEMALE,tech-support,other-relative,Single Vehicle Collision,Rear Collision,Major Damage,Fire,YES,YES,Y
2,1000,0,0,0,19,1,0,2,6460,6460,45220,1340.56,JD,FEMALE,machine-op-inspct,not-in-family,Single Vehicle Collision,Side Collision,Minor Damage,Fire,YES,YES,N
269,500,4000000,0,-41400,15,3,0,1,15180,15180,68310,1297.75,JD,FEMALE,other-service,own-child,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,?,?,Y
101,1000,0,25900,0,7,1,0,3,1180,590,4130,433.33,Masters,MALE,machine-op-inspct,other-relative,Parked Car,?,Minor Damage,None,?,NO,N
94,2000,0,0,-52600,19,1,1,3,6410,6410,51280,1025.54,High School,FEMALE,armed-forces,other-relative,Single Vehicle Collision,Rear Collision,Major Damage,Fire,?,YES,N
117,500,0,47500,-32500,13,2,0,1,5040,10080,40320,1264.77,Associate,FEMALE,transport-moving,unmarried,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,YES,?,Y
111,500,5000000,0,0,2,3,1,2,7350,14700,58800,1459.97,MD,MALE,sales,other-relative,Multi-vehicle Collision,Side Collision,Major Damage,Police,NO,NO,Y
242,500,0,0,-44600,5,1,1,1,680,680,6120,1238.65,High School,FEMALE,transport-moving,husband,Vehicle Theft,?,Trivial Damage,Police,YES,NO,N
440,500,0,41500,-70200,21,1,2,3,5960,5960,41720,1050.76,PhD,MALE,transport-moving,wife,Single Vehicle Collision,Side Collision,Major Damage,Fire,?,NO,Y
20,1000,0,0,0,21,3,2,2,5750,11500,46000,1711.72,JD,FEMALE,tech-support,wife,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,NO,NO,Y
461,500,7000000,0,0,7,3,0,1,9840,9840,39360,865.33,High School,FEMALE,farming-fishing,own-child,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,NO,?,N
208,500,0,0,0,16,3,1,0,10100,5050,35350,1153.49,Associate,MALE,craft-repair,other-relative,Multi-vehicle Collision,Side Collision,Total Loss,Other,YES,YES,N
279,2000,0,0,0,13,1,0,1,6410,12820,38460,1281.25,Associate,MALE,machine-op-inspct,other-relative,Single Vehicle Collision,Side Collision,Major Damage,Police,YES,NO,Y
244,500,0,0,0,2,1,1,3,660,660,4620,1342.8,MD,FEMALE,sales,husband,Vehicle Theft,?,Trivial Damage,Police,YES,YES,N
134,2000,0,0,0,19,3,0,2,5310,5310,37170,1443.32,PhD,FEMALE,exec-managerial,unmarried,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,?,YES,Y
122,1000,0,0,-47100,17,1,0,1,350,350,3150,1629.94,Masters,FEMALE,priv-house-serv,other-relative,Parked Car,?,Trivial Damage,None,?,NO,N
156,2000,0,0,0,3,1,2,0,5900,5900,47200,1134.08,PhD,MALE,other-service,husband,Single Vehicle Collision,Front Collision,Major Damage,Police,?,?,Y
232,500,8000000,0,-33600,17,3,0,1,7060,14120,49420,1483.91,College,MALE,machine-op-inspct,husband,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,NO,?,Y
244,2000,7000000,0,-45000,5,3,1,1,5590,11180,44720,1304.67,Masters,MALE,armed-forces,other-relative,Multi-vehicle Collision,Side Collision,Minor Damage,Police,?,?,N
84,2000,0,44400,-51500,9,1,1,0,5240,10480,41920,1035.79,MD,FEMALE,protective-serv,wife,Single Vehicle Collision,Side Collision,Minor Damage,Police,NO,YES,N
394,500,0,51500,0,9,1,1,0,1060,1060,4770,1401.2,High School,FEMALE,craft-repair,own-child,Vehicle Theft,?,Trivial Damage,Police,NO,NO,N
246,1000,0,34400,-33100,9,3,2,2,11840,5920,35520,1665.45,JD,MALE,machine-op-inspct,wife,Multi-vehicle Collision,Side Collision,Major Damage,Fire,?,?,Y
35,2000,0,52100,-46900,22,3,0,0,15660,7830,54810,653.66,JD,FEMALE,handlers-cleaners,unmarried,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,NO,?,N
156,500,0,0,-61000,15,3,0,3,4610,4610,32270,1080.13,Associate,MALE,protective-serv,other-relative,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,YES,NO,N
195,2000,0,57800,-53300,14,3,2,3,12540,6270,50160,1346.18,Associate,FEMALE,machine-op-inspct,wife,Multi-vehicle Collision,Front Collision,Total Loss,Fire,YES,YES,N
369,2000,0,55400,0,6,3,2,0,17060,8530,59710,1589.54,College,MALE,handlers-cleaners,husband,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,?,YES,N
271,1000,0,71200,0,6,1,0,0,560,280,2240,1251.65,Associate,FEMALE,other-service,wife,Parked Car,?,Minor Damage,None,NO,NO,N
332,2000,0,91900,0,22,4,2,0,11040,11040,49680,1083.01,MD,MALE,craft-repair,other-relative,Multi-vehicle Collision,Front Collision,Major Damage,Police,YES,?,Y
107,500,0,62800,0,14,3,1,0,11940,11940,35820,974.59,JD,FEMALE,armed-forces,wife,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,?,NO,N
217,2000,0,49900,-19800,16,3,0,2,10820,10820,43280,1399.85,Masters,FEMALE,other-service,other-relative,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NO,?,N
243,500,0,0,-75700,10,3,0,1,4170,4170,29190,1307.74,Associate,FEMALE,machine-op-inspct,own-child,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,?,NO,N
296,2000,0,53100,-63400,9,3,1,2,7120,7120,49840,1219.27,Associate,MALE,tech-support,husband,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,YES,NO,N
264,500,0,55600,0,4,1,1,0,10980,5490,43920,1411.3,PhD,MALE,prof-specialty,unmarried,Single Vehicle Collision,Rear Collision,Minor Damage,Other,NO,?,Y
108,2000,0,0,0,6,3,0,1,5850,11700,46800,694.45,JD,FEMALE,armed-forces,not-in-family,Multi-vehicle Collision,Side Collision,Major Damage,Police,?,YES,Y
32,500,6000000,0,0,15,3,2,1,14180,7090,49630,1006.77,College,FEMALE,other-service,own-child,Multi-vehicle Collision,Side Collision,Minor Damage,Police,YES,YES,N
259,1000,0,0,-83900,12,3,1,3,7760,7760,31040,1422.36,JD,FEMALE,craft-repair,unmarried,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,NO,?,N
186,1000,0,37600,-37600,3,1,2,1,860,860,3010,1348.32,Associate,FEMALE,craft-repair,wife,Vehicle Theft,?,Trivial Damage,Police,NO,?,Y
201,2000,0,0,0,14,1,0,0,1240,1240,4340,1315.56,PhD,FEMALE,transport-moving,not-in-family,Vehicle Theft,?,Minor Damage,Police,YES,YES,N
436,2000,5000000,47400,-27600,10,1,0,2,11980,5990,41930,1407.01,PhD,MALE,tech-support,other-relative,Single Vehicle Collision,Rear Collision,Major Damage,Police,?,?,Y
189,2000,0,0,-49400,17,3,1,3,13260,13260,53040,1388.58,MD,FEMALE,priv-house-serv,own-child,Multi-vehicle Collision,Side Collision,Major Damage,Police,?,YES,N
105,500,0,0,-40900,8,1,0,1,12780,6390,51120,1310.76,High School,FEMALE,adm-clerical,not-in-family,Single Vehicle Collision,Front Collision,Total Loss,Other,YES,?,N
163,1000,6000000,26900,0,14,3,2,0,5810,11620,46480,1004.63,JD,MALE,priv-house-serv,not-in-family,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,YES,NO,N
219,500,0,68700,0,6,1,1,0,640,640,5120,1134.91,Associate,FEMALE,transport-moving,not-in-family,Vehicle Theft,?,Trivial Damage,None,?,NO,N
88,1000,0,0,0,6,1,1,2,7420,7420,51940,1194,JD,FEMALE,handlers-cleaners,husband,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,YES,YES,Y
40,1000,4000000,0,-33300,8,1,0,2,1460,1460,5840,1248.25,College,FEMALE,sales,own-child,Parked Car,?,Minor Damage,Police,NO,?,N
284,500,-1000000,0,0,13,1,0,1,8560,17120,68480,1338.54,Associate,MALE,machine-op-inspct,wife,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,YES,?,N
59,2000,0,64200,-32300,0,3,0,2,5730,11460,34380,782.23,College,MALE,protective-serv,other-relative,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,?,NO,N
39,2000,0,0,-15700,14,3,1,0,10540,10540,31620,1366.9,High School,FEMALE,handlers-cleaners,husband,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,?,NO,Y
147,1000,0,0,-48300,13,1,2,2,15540,15540,69930,1275.81,High School,MALE,sales,wife,Single Vehicle Collision,Side Collision,Minor Damage,Fire,YES,?,N
156,500,0,0,-51800,16,4,1,2,5340,5340,42720,1090.65,High School,MALE,exec-managerial,unmarried,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,?,YES,Y
123,500,0,0,-54600,13,1,1,2,12020,12020,48080,1326,Associate,FEMALE,prof-specialty,wife,Single Vehicle Collision,Side Collision,Total Loss,Fire,?,NO,N
231,2000,0,0,-58100,15,3,2,2,7710,15420,53970,972.47,College,MALE,protective-serv,wife,Multi-vehicle Collision,Front Collision,Minor Damage,Police,YES,YES,N
247,500,0,0,0,3,1,2,3,600,0,2700,806.31,College,FEMALE,handlers-cleaners,wife,Parked Car,?,Trivial Damage,Police,?,?,N
194,500,0,0,0,7,1,1,0,1080,540,4320,1416.24,MD,FEMALE,adm-clerical,not-in-family,Parked Car,?,Minor Damage,None,YES,?,N
119,2000,0,27100,0,16,2,1,0,7080,21240,35400,1097.64,High School,MALE,transport-moving,other-relative,Multi-vehicle Collision,Rear Collision,Major Damage,Other,NO,?,N
259,500,0,0,-39300,15,1,1,3,1280,640,5760,947.75,Masters,FEMALE,farming-fishing,not-in-family,Vehicle Theft,?,Trivial Damage,Police,NO,NO,N
107,2000,5000000,20000,-82700,21,3,1,2,14420,21630,57680,1018.73,Associate,MALE,handlers-cleaners,own-child,Multi-vehicle Collision,Side Collision,Total Loss,Police,YES,?,N
48,2000,0,34000,-55600,23,3,0,2,17460,17460,52380,1400.74,College,MALE,sales,other-relative,Multi-vehicle Collision,Rear Collision,Major Damage,Police,YES,?,N
267,500,5000000,0,-35200,5,1,0,2,1260,630,3780,1155.53,JD,MALE,transport-moving,wife,Parked Car,?,Trivial Damage,Police,?,NO,N
286,500,0,54100,-77600,15,3,0,0,13160,6580,46060,1386.93,High School,MALE,priv-house-serv,husband,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,YES,NO,N
175,500,0,82400,-57100,14,1,2,1,4080,4080,28560,915.29,JD,FEMALE,handlers-cleaners,wife,Single Vehicle Collision,Front Collision,Major Damage,Other,?,YES,Y
111,500,2000000,0,0,1,1,1,1,4800,9600,38400,1239.55,PhD,FEMALE,farming-fishing,own-child,Single Vehicle Collision,Side Collision,Major Damage,Fire,?,YES,Y
151,500,0,44000,0,14,3,1,2,5910,5910,47280,1366.42,Associate,FEMALE,protective-serv,unmarried,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,NO,YES,Y
156,1000,6000000,0,-53800,17,3,1,1,14080,7040,56320,1086.48,Associate,MALE,machine-op-inspct,unmarried,Multi-vehicle Collision,Rear Collision,Total Loss,Other,?,YES,N
165,2000,0,0,-39700,20,3,2,2,4570,4570,36560,1247.87,Masters,MALE,armed-forces,husband,Multi-vehicle Collision,Side Collision,Total Loss,Fire,NO,NO,N
253,2000,0,81300,0,10,3,2,2,7340,14680,58720,1312.75,PhD,FEMALE,sales,other-relative,Multi-vehicle Collision,Rear Collision,Major Damage,Other,NO,YES,Y
10,2000,0,0,-22200,3,3,0,3,2850,5700,22800,765.64,MD,MALE,sales,not-in-family,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,?,?,Y
158,2000,0,0,-38600,0,1,0,0,3500,7000,24500,1327.41,Associate,FEMALE,handlers-cleaners,other-relative,Single Vehicle Collision,Side Collision,Total Loss,Other,?,?,N
436,1000,0,39000,0,10,3,2,2,13600,6800,47600,1338.55,PhD,MALE,protective-serv,own-child,Multi-vehicle Collision,Side Collision,Total Loss,Police,?,NO,N
